Disease	Acc_Id	Annotations	Annotated Genes	Strains	Matched By
Acoustic neuroma	DOID:12689	34	Ap1b1(2064 - Rat);Artn(621427 - Rat);Ascc2(1561422 - Rat);Bdnf(2202 - Rat);Cabp7(1359269 - Rat);Cav1(2280 - Rat);Ccdc117(1561762 - Rat);Cdkn1a(69328 - Rat);Chek2(621543 - Rat);Cyp2e1(2475 - Rat);Emid1(1593795 - Rat);Ercc2(1309109 - Rat);Ewsr1(1307258 - Rat);Fgfr1(620713 - Rat);Gas2l1(1311206 - Rat);Gdnf(2677 - Rat);Hscb(1311005 - Rat);Igf1(2868 - Rat);Igfbp3(2874 - Rat);Kremen1(620789 - Rat);LOC102551828(7675909 - Rat);Mtmr3(1310972 - Rat);Nefh(3159 - Rat);Nf2(3169 - Rat);Nipsnap1(1310419 - Rat);Rasl10a(1306100 - Rat);Rhbdd3(1311827 - Rat);Smarcb1(1308761 - Rat);Thoc5(1304991 - Rat);Uqcr10(1595126 - Rat);Vegfa(619991 - Rat);Xbp1(1303073 - Rat);Zmat5(1559774 - Rat);Znrf3(1593771 - Rat)		term
Acquired angioedema	DOID:0080941	7	F12(1359175 - Rat);F2(61996 - Rat);F7(628678 - Rat);G6pd(2645 - Rat);Kng2(2980 - Rat);Serping1(735225 - Rat);Xpnpep2(621277 - Rat)		term
Acquired generalized lipodystrophy	DOID:0080300	0			term
Acquired hypoprothrombinemia	DOID:9002296	0			term
Acquired ichthyosis	DOID:9001016	0			term
Acquired von Willebrand syndrome	DOID:0111146	0			term
Acrocallosal syndrome	DOID:9250	5	Cep41(1562034 - Rat);Foxg1(2619 - Rat);Kif7(1310310 - Rat);Shh(3673 - Rat);Ticrr(1308541 - Rat)		term
Acrocapitofemoral dysplasia	DOID:0050604	1	Ihh(620021 - Rat)		term
Acrocephalopolydactylous dysplasia	DOID:9002581	0			term
Acrodermatitis enteropathica	DOID:0050605	1	Slc39a4(1306701 - Rat)		term
Acrodysostosis	DOID:14669	4	Depdc1b(1305799 - Rat);Fam20a(1306364 - Rat);Pde4d(3281 - Rat);Prkar1a(3391 - Rat)		term
Acrodysplasia scoliosis	DOID:9002222	0			term
Acrofacial dysostosis	DOID:0060379	4	Evc(735186 - Rat);Evc2(1310417 - Rat);Polr1a(620824 - Rat);Sf3b4(1309667 - Rat)		term
Acrofacial dysostosis, Catania type	DOID:0060384	0			term
Acrofrontofacionasal dysostosis	DOID:0060226	0			term
Acrogeria, Gottron type	DOID:9001469	0			term
Acromegaly	DOID:2449	3	Gh1(2686 - Rat);Gnas(2716 - Rat);Igf1(2868 - Rat)		term
Acromegaly	MP:0003506	0			term
Acromelic frontonasal dysostosis	DOID:0060342	1	Zswim6(1306624 - Rat)		term
Acromelic frontonasal dysplasia	DOID:9005975	0			term
Acromesomelic dysplasia	DOID:0080049	6	Ank2(620156 - Rat);Bmpr1b(1595863 - Rat);Gdf5(620102 - Rat);Npr2(620851 - Rat);Prkg2(3401 - Rat);Spag8(1307079 - Rat)		term
Acromesomelic dysplasia, Grebe type	DOID:0080052	1	Gdf5(620102 - Rat)		term
Acromesomelic dysplasia, Hunter-Thompson type	DOID:0080051	2	Bmpr1b(1595863 - Rat);Gdf5(620102 - Rat)		term
Acromesomelic dysplasia, Maroteaux type	DOID:0080050	2	Npr2(620851 - Rat);Spag8(1307079 - Rat)		term
Acromicric dysplasia	DOID:0111243	5	Adamtsl2(1305459 - Rat);Fbn1(620908 - Rat);Ltbp3(62057 - Rat);Smad2(3031 - Rat);Tgfb1(69051 - Rat)		term
Acroosteolysis dominant type	DOID:9000812	1	Notch2(3188 - Rat)		term
Acrootoocular syndrome	DOID:9000476	0			term
Acropectoral syndrome	DOID:9000853	0			term
Acropectorovertebral dysplasia	DOID:9003354	0			term
Acrorenal syndrome	DOID:0060347	0			term
Actinic prurigo	DOID:9000942	1	RT1-Db1(1593282 - Rat)		term
Actinomycosis	DOID:8478	1	Cd163(1310382 - Rat)		term
Acute basophilic leukemia	DOID:0080795	0			term
Acute disseminated encephalomyelitis	DOID:639	4	Ifng(2866 - Rat);Nefl(621458 - Rat);RT1-Bb(3469 - Rat);RT1-Db1(1593282 - Rat)		term
Acute endophthalmitis	DOID:11752	0			term
Acute erythroid leukemia	DOID:0080780	12	Cad(1588606 - Rat);Ddx41(1311758 - Rat);Dhodh(68352 - Rat);Flt3(61308 - Rat);Gfi1b(1311727 - Rat);Hoxb9(1306158 - Rat);Kmt2a(1586165 - Rat);Npm1(3192 - Rat);Nup98(71033 - Rat);Rb1(3540 - Rat);Tp53(3889 - Rat);Umps(1311908 - Rat)	LE(629485)|LEXF2A(1302605)|LEXF2D(7349321)|LEXF3(1302707)|LEXF4(1302604)|LEXF5(1302723)|LEXF6A(4140405)|LEXF7B(1302649)|LEXF8A(1302653)|LEXF8B(7349322)|LEXF8C(4140408)|LEXF8D(1302699)|LEXF9(1302618)	term
Acute fatty liver of pregnancy	DOID:9008425	0			term
Acute flaccid myelitis	DOID:0080947	0			term
Acute generalized exanthematous pustulosis	DOID:9000974	0			term
Acute hepatic failure	HP:0006554	0			term
Acute intermittent porphyria	DOID:3890	6	Abcb6(71077 - Rat);Alas2(2084 - Rat);Cpox(1311817 - Rat);Dpagt1(735124 - Rat);Hmbs(2801 - Rat);Ppox(1310543 - Rat)		term
Acute interstitial pneumonia	DOID:2800	0			term
Acute liver failure	DOID:9004590	99	Abcc2(2366 - Rat);Abo(2307241 - Rat);Alb(2085 - Rat);Anp32a(11508551 - Rat);Apoc2(2135 - Rat);Ass1(2163 - Rat);Atm(1593265 - Rat);Atp7b(2180 - Rat);Atp7b<sup>hts</sup>(11532742 - Rat);Brip1(1307659 - Rat);Casp12(621758 - Rat);Casp3(2275 - Rat);Casp8(620945 - Rat);Casp9(61867 - Rat);Cast(2278 - Rat);Ccl2(3645 - Rat);Ccl20(3646 - Rat);Ccl3(3647 - Rat);Ccl4(620441 - Rat);Ccl5(69069 - Rat);Cd14(620588 - Rat);Cd163(1310382 - Rat);Cd74(2313 - Rat);Col1a2(621351 - Rat);Csf3(2426 - Rat);Cxcl10(620209 - Rat);Efcab10(1307943 - Rat);Eif2ak3(70884 - Rat);Ern1(1559716 - Rat);F5(1589758 - Rat);F7(628678 - Rat);Fabp1(2590 - Rat);Fas(619831 - Rat);Faslg(3880 - Rat);Fbp1(2595 - Rat);Fbp2(620930 - Rat);Fga(2603 - Rat);Foxp3(1562112 - Rat);Fst(2633 - Rat);Gc(2667 - Rat);Gfer(61845 - Rat);Gpnmb(71008 - Rat);Gpt(621720 - Rat);Hgf(2794 - Rat);Hist1h4m(1306905 - Rat);Hmgb1(2802 - Rat);Hspa8(621725 - Rat);Idh1(2862 - Rat);Il10(2886 - Rat);Il1rl1(2894 - Rat);Il1rn(621159 - Rat);Il21(1307384 - Rat);Il27(1561420 - Rat);Il6(2901 - Rat);Inhba(62074 - Rat);Ins1(2915 - Rat);Ins2(2916 - Rat);Kcnj10(61822 - Rat);Kit(620568 - Rat);Krt18(619935 - Rat);Krt8(2984 - Rat);Lars1(1304962 - Rat);Ldha(2996 - Rat);Lrp1(1307535 - Rat);Ltc4s(620677 - Rat);Mapk8(621506 - Rat);Mdh1(3072 - Rat);Met(3082 - Rat);Milr1(620488 - Rat);Mir122(2325577 - Rat);Mir146a(2325382 - Rat);Mir221(2325451 - Rat);Mir223(2325543 - Rat);Mt-atp8(621240 - Rat);Nbas(1585140 - Rat);Nos2(3185 - Rat);Nos3(3186 - Rat);Panx1(735204 - Rat);Polg2(1305128 - Rat);Pomc(3366 - Rat);Ppp1r15a(621526 - Rat);Prkdc(1308982 - Rat);Psmd11(1306450 - Rat);Ptafr(61897 - Rat);Ptgs2(620349 - Rat);Qdpr(619915 - Rat);Rida(70940 - Rat);Rint1(1560433 - Rat);Ripk3(628899 - Rat);Sco1(1559538 - Rat);Serpinc1(1307404 - Rat);Thbd(621299 - Rat);Tlr3(735171 - Rat);Tlr4(3870 - Rat);Tnf(3876 - Rat);Trmu(1311229 - Rat);Ucp2(3932 - Rat);Ugt1a1(3935 - Rat);Xbp1(1303073 - Rat)	LEC(1302648)	term
Acute lung injury	DOID:9004610	142	Ace(2493 - Rat);Ace2(728890 - Rat);Acvr1(620200 - Rat);Adar(71099 - Rat);Adipoq(628748 - Rat);Adra2a(2056 - Rat);Aff4(1311694 - Rat);Ager(69258 - Rat);Akap12(70988 - Rat);Akt1(2081 - Rat);Alb(2085 - Rat);Alox15(70493 - Rat);Apoa1(2130 - Rat);Aqp5(2144 - Rat);Ascl1(71010 - Rat);Bax(2192 - Rat);Bcl2(2199 - Rat);C3(2232 - Rat);Casp12(621758 - Rat);Casp3(2275 - Rat);Casp8(620945 - Rat);Cat(2279 - Rat);Cav1(2280 - Rat);Ccl2(3645 - Rat);Ccl4(620441 - Rat);Ccr1(708446 - Rat);Cd36(2301 - Rat);Cxcl1(619869 - Rat);Cxcl2(70069 - Rat);Cxcl6(708540 - Rat);Cxcr2(2906 - Rat);Cyp1a1(2458 - Rat);Cyp2b1(2466 - Rat);Cysltr1(619796 - Rat);Ddit3(62391 - Rat);Edn1(2532 - Rat);Egfr(2543 - Rat);Elane(1307968 - Rat);Ephx1(2557 - Rat);Ephx2(620732 - Rat);Ern1(1559716 - Rat);F2(61996 - Rat);F3(2587 - Rat);Fadd(628700 - Rat);Fas(619831 - Rat);Faslg(3880 - Rat);Fcgr1a(1309912 - Rat);Fcgr2a(71069 - Rat);Fcgr2b(631331 - Rat);Fga(2603 - Rat);Flt1(2621 - Rat);Foxa1(2807 - Rat);Gja1(2690 - Rat);Got1(2721 - Rat);Gsr(621747 - Rat);Gzmb(620018 - Rat);Hmgb1(2802 - Rat);Hmgcr(2803 - Rat);Hmox1(2806 - Rat);Hnrnpc(1309982 - Rat);Hspa5(2843 - Rat);Icam1(2857 - Rat);Ido1(619989 - Rat);Ifng(2866 - Rat);Il10(2886 - Rat);Il13(68949 - Rat);Il17a(2888 - Rat);Il18(2889 - Rat);Il1b(2891 - Rat);Il1rl1(2894 - Rat);Il1rn(621159 - Rat);Il2(620047 - Rat);Il22(1561292 - Rat);Il4(2898 - Rat);Il6(2901 - Rat);Irak3(1308846 - Rat);Itgb2(1305581 - Rat);Jak3(2940 - Rat);Kdr(2965 - Rat);Ltb4r2(621029 - Rat);Mfn1(621460 - Rat);Mfn2(628843 - Rat);Mir155(7489038 - Rat);Mir21(2325598 - Rat);Mir223(2325543 - Rat);Mir330(2325620 - Rat);Mir96(2325582 - Rat);Mir99b(2325431 - Rat);Mmp2(621316 - Rat);Mmp7(3100 - Rat);Mmp9(621320 - Rat);Mpo(1592081 - Rat);Mt2A(1592345 - Rat);Mylk(1310915 - Rat);Nfe2l2(620360 - Rat);Ngf(1598328 - Rat);Nlrp3(1308314 - Rat);Nod2(1306368 - Rat);Nos2(3185 - Rat);Nppa(3193 - Rat);Nqo1(2503 - Rat);Opa1(708423 - Rat);P2ry12(621681 - Rat);Pak1(3250 - Rat);Parp1(2053 - Rat);Pawr(69065 - Rat);Pecam1(61927 - Rat);Pfkfb3(619776 - Rat);Pik3cg(1306468 - Rat);Pla2g2a(620857 - Rat);Plau(3343 - Rat);Pparg(3371 - Rat);Prdm1(1311765 - Rat);Prkaa1(3387 - Rat);Proc(3411 - Rat);Procr(1305991 - Rat);Ptgs2(620349 - Rat);Scgb1a1(3934 - Rat);Serpinc1(1307404 - Rat);Serpine1(3249 - Rat);Serping1(735225 - Rat);Sftpa1(3665 - Rat);Sftpb(621700 - Rat);Sftpd(3667 - Rat);Slpi(621768 - Rat);Tac1(3807 - Rat);Tacr1(3811 - Rat);Tff1(620707 - Rat);Tff2(620709 - Rat);Tgfb1(69051 - Rat);Thbd(621299 - Rat);Timp2(61312 - Rat);Tlr4(3870 - Rat);Tnf(3876 - Rat);Tnfaip6(621359 - Rat);Trem1(1309467 - Rat);Txn1(621157 - Rat);Usp18(1359153 - Rat);Vegfa(619991 - Rat);Vip(621647 - Rat);Xdh(62043 - Rat);Zc3h12a(1306776 - Rat)		term
